OUTPUT:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Infantry, ATT:45, DEF:0, HP:69, LVL:8
[1] Fighter, ATT:110, DEF:110, HP:59, LVL:9
[2] Artillery, ATT:75, DEF:70, HP:89, LVL:1
[3] Submarine, ATT:105, DEF:65, HP:96, LVL:6
[4] Infantry, ATT:45, DEF:0, HP:93, LVL:0
[5] Submarine, ATT:105, DEF:65, HP:54, LVL:0
[6] Submarine, ATT:105, DEF:65, HP:61, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:82, LVL:9
[8] Infantry, ATT:45, DEF:0, HP:65, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[10] Infantry, ATT:45, DEF:0, HP:60, LVL:7
[11] Submarine, ATT:105, DEF:65, HP:55, LVL:7
[12] Helicopter, ATT:55, DEF:40, HP:54, LVL:4
[13] Cruiser, ATT:100, DEF:75, HP:72, LVL:4

Mechagodzilla => 93 => [5] Submarine
[0] Infantry => 13 => Mechagodzilla
[1] Fighter => 10 => Mechagodzilla
[2] Artillery => 17 => Mechagodzilla
[3] Submarine => 20 => Mechagodzilla
[4] Infantry => 14 => Mechagodzilla
[6] Submarine => 17 => Mechagodzilla
[7] Fighter => 19 => Mechagodzilla
[8] Infantry => 11 => Mechagodzilla
[9] Infantry => 7 => Mechagodzilla
[10] Infantry => 8 => Mechagodzilla
[11] Submarine => 13 => Mechagodzilla
[12] Helicopter => 8 => Mechagodzilla
[13] Cruiser => 12 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:331, LVL:1
[0] Infantry, ATT:45, DEF:0, HP:69, LVL:8
[1] Fighter, ATT:110, DEF:110, HP:59, LVL:9
[2] Artillery, ATT:75, DEF:70, HP:89, LVL:1
[3] Submarine, ATT:105, DEF:65, HP:96, LVL:6
[4] Infantry, ATT:45, DEF:0, HP:93, LVL:0
[5] Submarine, ATT:105, DEF:65, HP:-39, LVL:0
[6] Submarine, ATT:105, DEF:65, HP:61, LVL:5
[7] Fighter, ATT:110, DEF:110, HP:82, LVL:9
[8] Infantry, ATT:45, DEF:0, HP:65, LVL:7
[9] Infantry, ATT:45, DEF:0, HP:85, LVL:2
[10] Infantry, ATT:45, DEF:0, HP:60, LVL:7
[11] Submarine, ATT:105, DEF:65, HP:55, LVL:7
[12] Helicopter, ATT:55, DEF:40, HP:54, LVL:4
[13] Cruiser, ATT:100, DEF:75, HP:72, LVL:4

Mechagodzilla => 57 => [12] Helicopter
