OUTPUT:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:52, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:52, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:52, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

Mechagodzilla => 145 => [1] Infantry
[0] Helicopter => 15 => Mechagodzilla
[2] Helicopter => 9 => Mechagodzilla
[3] Fighter => 10 => Mechagodzilla
[4] Artillery => 17 => Mechagodzilla
[5] Fighter => 12 => Mechagodzilla
[6] Bomber => 25 => Mechagodzilla
[7] Tank => 16 => Mechagodzilla
[8] Helicopter => 8 => Mechagodzilla
[9] Helicopter => 12 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:376, LVL:1
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:52, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:52, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

Mechagodzilla => 63 => [2] Helicopter
[0] Helicopter => 9 => Mechagodzilla
[3] Fighter => 14 => Mechagodzilla
[4] Artillery => 16 => Mechagodzilla
[5] Fighter => 17 => Mechagodzilla
[6] Bomber => 16 => Mechagodzilla
[7] Tank => 16 => Mechagodzilla
[8] Helicopter => 12 => Mechagodzilla
[9] Helicopter => 13 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:263, LVL:2
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:-11, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:52, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

Mechagodzilla => 52 => [6] Bomber
[0] Helicopter => 10 => Mechagodzilla
[3] Fighter => 17 => Mechagodzilla
[4] Artillery => 17 => Mechagodzilla
[5] Fighter => 27 => Mechagodzilla
[7] Tank => 18 => Mechagodzilla
[8] Helicopter => 12 => Mechagodzilla
[9] Helicopter => 18 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:144, LVL:3
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:-11, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:0, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

Mechagodzilla => 63 => [9] Helicopter
[0] Helicopter => 12 => Mechagodzilla
[3] Fighter => 19 => Mechagodzilla
[4] Artillery => 13 => Mechagodzilla
[5] Fighter => 19 => Mechagodzilla
[7] Tank => 23 => Mechagodzilla
[8] Helicopter => 14 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:44, LVL:4
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:-11, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:0, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:-11, LVL:5

Mechagodzilla => 39 => [5] Fighter
[0] Helicopter => 13 => Mechagodzilla
[3] Fighter => 22 => Mechagodzilla
[4] Artillery => 15 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:-6, LVL:4
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:-11, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:14, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:0, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:-11, LVL:5

Winner: Enemy
Total monster DMG: 362
Total enemies DMG: 506
--------------------------------------------------
EXPECTED:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:52, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:52, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:52, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

Mechagodzilla => 145 => [1] Infantry
[0] Helicopter => 15 => Mechagodzilla
[2] Helicopter => 9 => Mechagodzilla
[3] Fighter => 10 => Mechagodzilla
[4] Artillery => 17 => Mechagodzilla
[5] Fighter => 12 => Mechagodzilla
[6] Bomber => 25 => Mechagodzilla
[7] Tank => 16 => Mechagodzilla
[8] Helicopter => 8 => Mechagodzilla
[9] Helicopter => 12 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:376, LVL:1
[0] Helicopter, ATT:55, DEF:40, HP:83, LVL:2
[1] Infantry, ATT:45, DEF:0, HP:-93, LVL:1
[2] Helicopter, ATT:55, DEF:40, HP:52, LVL:7
[3] Fighter, ATT:110, DEF:110, HP:93, LVL:2
[4] Artillery, ATT:75, DEF:70, HP:65, LVL:2
[5] Fighter, ATT:110, DEF:110, HP:53, LVL:10
[6] Bomber, ATT:120, DEF:100, HP:52, LVL:10
[7] Tank, ATT:65, DEF:100, HP:57, LVL:9
[8] Helicopter, ATT:55, DEF:40, HP:74, LVL:3
[9] Helicopter, ATT:55, DEF:40, HP:52, LVL:5

