OUTPUT:

--------------------------------------------------
EXPECTED:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:50, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:61, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:61, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:69, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:58, LVL:0

Godzilla => 112 => [2] ForrestGump
[0] LacoMelisko => 5 => Godzilla
[1] LacoMelisko => 5 => Godzilla
[3] HomerSimpson => 7 => Godzilla
[4] SantaClaus => 9 => Godzilla
[5] LadyGaga => 9 => Godzilla
[6] ForrestGump => 9 => Godzilla
[7] Pikachu => 9 => Godzilla
[8] LacoMelisko => 5 => Godzilla
[9] SantaClaus => 14 => Godzilla

Godzilla, ATT:200, DEF:220, HP:428, LVL:1
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:61, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:61, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:69, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:58, LVL:0

Godzilla => 106 => [9] SantaClaus
[0] LacoMelisko => 10 => Godzilla
[1] LacoMelisko => 6 => Godzilla
[3] HomerSimpson => 9 => Godzilla
[4] SantaClaus => 9 => Godzilla
[5] LadyGaga => 5 => Godzilla
[6] ForrestGump => 10 => Godzilla
[7] Pikachu => 6 => Godzilla
[8] LacoMelisko => 12 => Godzilla

Godzilla, ATT:200, DEF:220, HP:361, LVL:2
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
[4] SantaClaus, ATT:30, DEF:20, HP:61, LVL:1
[5] LadyGaga, ATT:15, DEF:5, HP:89, LVL:1
[6] ForrestGump, ATT:10, DEF:10, HP:78, LVL:7
[7] Pikachu, ATT:50, DEF:10, HP:61, LVL:0
[8] LacoMelisko, ATT:5, DEF:5, HP:69, LVL:0
[9] SantaClaus, ATT:30, DEF:20, HP:-48, LVL:0

Godzilla => 87 => [4] SantaClaus
[0] LacoMelisko => 9 => Godzilla
[1] LacoMelisko => 6 => Godzilla
[3] HomerSimpson => 16 => Godzilla
[5] LadyGaga => 6 => Godzilla
[6] ForrestGump => 15 => Godzilla
[7] Pikachu => 12 => Godzilla
[8] LacoMelisko => 6 => Godzilla

Godzilla, ATT:200, DEF:220, HP:291, LVL:3
[0] LacoMelisko, ATT:5, DEF:5, HP:92, LVL:3
[1] LacoMelisko, ATT:5, DEF:5, HP:87, LVL:0
[2] ForrestGump, ATT:10, DEF:10, HP:-62, LVL:3
[3] HomerSimpson, ATT:40, DEF:20, HP:78, LVL:4
