OUTPUT:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Cruiser, ATT:100, DEF:75, HP:94, LVL:8
[1] Submarine, ATT:105, DEF:65, HP:59, LVL:3
[2] Infantry, ATT:45, DEF:0, HP:60, LVL:9
[3] Helicopter, ATT:55, DEF:40, HP:64, LVL:6
[4] Infantry, ATT:45, DEF:0, HP:81, LVL:7
[5] Helicopter, ATT:55, DEF:40, HP:73, LVL:3
[6] Tank, ATT:65, DEF:100, HP:55, LVL:6
[7] Infantry, ATT:45, DEF:0, HP:60, LVL:1

Mechagodzilla => 58 => [6] Tank
[0] Cruiser => 10 => Mechagodzilla
[1] Submarine => 12 => Mechagodzilla
[2] Infantry => 9 => Mechagodzilla
[3] Helicopter => 9 => Mechagodzilla
[4] Infantry => 10 => Mechagodzilla
[5] Helicopter => 9 => Mechagodzilla
[7] Infantry => 12 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:429, LVL:1
[0] Cruiser, ATT:100, DEF:75, HP:94, LVL:8
[1] Submarine, ATT:105, DEF:65, HP:59, LVL:3
[2] Infantry, ATT:45, DEF:0, HP:60, LVL:9
[3] Helicopter, ATT:55, DEF:40, HP:64, LVL:6
[4] Infantry, ATT:45, DEF:0, HP:81, LVL:7
[5] Helicopter, ATT:55, DEF:40, HP:73, LVL:3
[6] Tank, ATT:65, DEF:100, HP:-3, LVL:6
[7] Infantry, ATT:45, DEF:0, HP:60, LVL:1

Mechagodzilla => 109 => [1] Submarine
[0] Cruiser => 23 => Mechagodzilla
[2] Infantry => 14 => Mechagodzilla
[3] Helicopter => 13 => Mechagodzilla
[4] Infantry => 12 => Mechagodzilla
[5] Helicopter => 15 => Mechagodzilla
[7] Infantry => 9 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:343, LVL:2
[0] Cruiser, ATT:100, DEF:75, HP:94, LVL:8
[1] Submarine, ATT:105, DEF:65, HP:-50, LVL:3
[2] Infantry, ATT:45, DEF:0, HP:60, LVL:9
