OUTPUT:
Mechagodzilla, ATT:230, DEF:230, HP:500, LVL:0
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:54, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:57, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:51, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:61, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:51, LVL:8

Mechagodzilla => 54 => [4] Fighter
[0] Submarine => 8 => Mechagodzilla
[1] Fighter => 15 => Mechagodzilla
[2] Infantry => 9 => Mechagodzilla
[3] Infantry => 10 => Mechagodzilla
[5] Infantry => 9 => Mechagodzilla
[6] Helicopter => 8 => Mechagodzilla
[7] Infantry => 8 => Mechagodzilla
[8] Fighter => 24 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:409, LVL:1
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:54, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:57, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:61, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:51, LVL:8

Mechagodzilla => 67 => [8] Fighter
[0] Submarine => 17 => Mechagodzilla
[1] Fighter => 18 => Mechagodzilla
[2] Infantry => 13 => Mechagodzilla
[3] Infantry => 12 => Mechagodzilla
[5] Infantry => 7 => Mechagodzilla
[6] Helicopter => 9 => Mechagodzilla
[7] Infantry => 10 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:323, LVL:2
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:54, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:57, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:61, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 62 => [1] Fighter
[0] Submarine => 13 => Mechagodzilla
[2] Infantry => 19 => Mechagodzilla
[3] Infantry => 10 => Mechagodzilla
[5] Infantry => 14 => Mechagodzilla
[6] Helicopter => 8 => Mechagodzilla
[7] Infantry => 15 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:244, LVL:3
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:57, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:61, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 68 => [2] Infantry
[0] Submarine => 11 => Mechagodzilla
[3] Infantry => 13 => Mechagodzilla
[5] Infantry => 14 => Mechagodzilla
[6] Helicopter => 13 => Mechagodzilla
[7] Infantry => 9 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:184, LVL:4
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:61, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 63 => [6] Helicopter
[0] Submarine => 13 => Mechagodzilla
[3] Infantry => 14 => Mechagodzilla
[5] Infantry => 10 => Mechagodzilla
[7] Infantry => 11 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:136, LVL:5
[0] Submarine, ATT:105, DEF:65, HP:62, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:-2, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 76 => [0] Submarine
[3] Infantry => 13 => Mechagodzilla
[5] Infantry => 10 => Mechagodzilla
[7] Infantry => 9 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:104, LVL:6
[0] Submarine, ATT:105, DEF:65, HP:-14, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:-2, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:67, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 102 => [7] Infantry
[3] Infantry => 14 => Mechagodzilla
[5] Infantry => 10 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:80, LVL:7
[0] Submarine, ATT:105, DEF:65, HP:-14, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:76, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:-2, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:-35, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 87 => [5] Infantry
[3] Infantry => 11 => Mechagodzilla

Mechagodzilla, ATT:230, DEF:230, HP:69, LVL:8
[0] Submarine, ATT:105, DEF:65, HP:-14, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:95, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:-11, LVL:0
[6] Helicopter, ATT:55, DEF:40, HP:-2, LVL:2
[7] Infantry, ATT:45, DEF:0, HP:-35, LVL:1
[8] Fighter, ATT:110, DEF:110, HP:-16, LVL:8

Mechagodzilla => 111 => [3] Infantry

Mechagodzilla, ATT:230, DEF:230, HP:69, LVL:9
[0] Submarine, ATT:105, DEF:65, HP:-14, LVL:1
[1] Fighter, ATT:110, DEF:110, HP:-8, LVL:5
[2] Infantry, ATT:45, DEF:0, HP:-11, LVL:10
[3] Infantry, ATT:45, DEF:0, HP:-16, LVL:5
[4] Fighter, ATT:110, DEF:110, HP:-3, LVL:10
[5] Infantry, ATT:45, DEF:0, HP:-11, LVL:0
