OUTPUT:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Bomber, ATT:120, DEF:100, HP:65, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:65, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 73 => [0] Bomber
[1] Cruiser => 33 => Kong
[2] Tank => 17 => Kong
[3] Cruiser => 21 => Kong
[4] Helicopter => 10 => Kong
[5] Artillery => 8 => Kong

Kong, ATT:220, DEF:180, HP:411, LVL:1
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:65, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 40 => [1] Cruiser
[1] Cruiser => 14 => Kong
[2] Tank => 13 => Kong
[3] Cruiser => 23 => Kong
[4] Helicopter => 9 => Kong
[5] Artillery => 16 => Kong

Kong, ATT:220, DEF:180, HP:336, LVL:2
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:25, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 39 => [1] Cruiser
[2] Tank => 14 => Kong
[3] Cruiser => 14 => Kong
[4] Helicopter => 10 => Kong
[5] Artillery => 13 => Kong

Kong, ATT:220, DEF:180, HP:285, LVL:3
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 52 => [3] Cruiser
[2] Tank => 21 => Kong
[3] Cruiser => 14 => Kong
[4] Helicopter => 11 => Kong
[5] Artillery => 18 => Kong

Kong, ATT:220, DEF:180, HP:221, LVL:4
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:13, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 82 => [3] Cruiser
[2] Tank => 13 => Kong
[4] Helicopter => 17 => Kong
[5] Artillery => 13 => Kong

Kong, ATT:220, DEF:180, HP:178, LVL:5
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 47 => [5] Artillery
[2] Tank => 24 => Kong
[4] Helicopter => 15 => Kong
[5] Artillery => 18 => Kong

Kong, ATT:220, DEF:180, HP:121, LVL:6
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:25, LVL:2

Kong => 61 => [5] Artillery
[2] Tank => 17 => Kong
[4] Helicopter => 14 => Kong

Kong, ATT:220, DEF:180, HP:90, LVL:7
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 62 => [4] Helicopter
[2] Tank => 20 => Kong
[4] Helicopter => 14 => Kong

Kong, ATT:220, DEF:180, HP:56, LVL:8
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:19, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 84 => [4] Helicopter
[2] Tank => 18 => Kong

Kong, ATT:220, DEF:180, HP:38, LVL:9
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 35 => [2] Tank
[2] Tank => 17 => Kong

Kong, ATT:220, DEF:180, HP:21, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:63, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 43 => [2] Tank
[2] Tank => 16 => Kong

Kong, ATT:220, DEF:180, HP:5, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:20, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 47 => [2] Tank

Kong, ATT:220, DEF:180, HP:5, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:-27, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Winner: Kong
Total monster DMG: 665
Total enemies DMG: 495
--------------------------------------------------
EXPECTED:
Kong, ATT:220, DEF:180, HP:500, LVL:0
[0] Bomber, ATT:120, DEF:100, HP:65, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:65, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 73 => [0] Bomber
[1] Cruiser => 33 => Kong
[2] Tank => 17 => Kong
[3] Cruiser => 21 => Kong
[4] Helicopter => 10 => Kong
[5] Artillery => 8 => Kong

Kong, ATT:220, DEF:180, HP:411, LVL:1
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:65, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 40 => [1] Cruiser
[1] Cruiser => 14 => Kong
[2] Tank => 13 => Kong
[3] Cruiser => 23 => Kong
[4] Helicopter => 9 => Kong
[5] Artillery => 16 => Kong

Kong, ATT:220, DEF:180, HP:336, LVL:2
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:25, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 39 => [1] Cruiser
[2] Tank => 14 => Kong
[3] Cruiser => 14 => Kong
[4] Helicopter => 10 => Kong
[5] Artillery => 13 => Kong

Kong, ATT:220, DEF:180, HP:285, LVL:3
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:65, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 52 => [3] Cruiser
[2] Tank => 21 => Kong
[3] Cruiser => 14 => Kong
[4] Helicopter => 11 => Kong
[5] Artillery => 18 => Kong

Kong, ATT:220, DEF:180, HP:221, LVL:4
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:13, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 82 => [3] Cruiser
[2] Tank => 13 => Kong
[4] Helicopter => 17 => Kong
[5] Artillery => 13 => Kong

Kong, ATT:220, DEF:180, HP:178, LVL:5
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:72, LVL:2

Kong => 47 => [5] Artillery
[2] Tank => 24 => Kong
[4] Helicopter => 15 => Kong
[5] Artillery => 18 => Kong

Kong, ATT:220, DEF:180, HP:121, LVL:6
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:25, LVL:2

Kong => 61 => [5] Artillery
[2] Tank => 17 => Kong
[4] Helicopter => 14 => Kong

Kong, ATT:220, DEF:180, HP:90, LVL:7
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:81, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 62 => [4] Helicopter
[2] Tank => 20 => Kong
[4] Helicopter => 14 => Kong

Kong, ATT:220, DEF:180, HP:56, LVL:8
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:19, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 84 => [4] Helicopter
[2] Tank => 18 => Kong

Kong, ATT:220, DEF:180, HP:38, LVL:9
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:98, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 35 => [2] Tank
[2] Tank => 17 => Kong

Kong, ATT:220, DEF:180, HP:21, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:63, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
[4] Helicopter, ATT:55, DEF:40, HP:-65, LVL:2
[5] Artillery, ATT:75, DEF:70, HP:-36, LVL:2

Kong => 43 => [2] Tank
[2] Tank => 16 => Kong

Kong, ATT:220, DEF:180, HP:5, LVL:10
[0] Bomber, ATT:120, DEF:100, HP:-8, LVL:5
[1] Cruiser, ATT:100, DEF:75, HP:-14, LVL:10
[2] Tank, ATT:65, DEF:100, HP:20, LVL:8
[3] Cruiser, ATT:100, DEF:75, HP:-69, LVL:4
